EV_Value, Win_Rate
1.90675,0.81974
4.11587,0.89718
1.87909,0.57586
1.07383,0.4349
0.948198,0.34568
1.08917,0.35816
1.664,0.36486
1.74757,0.49052
0.887133,0.3207
1.73311,0.62184
1.01709,0.29026
1.70661,0.5063
0.882498,0.28758
1.68258,0.63332
0.935528,0.25062
1.1248,0.2458
1.66712,0.56354
0.889029,0.28074
1.01709,0.29026
1.75848,0.83784
0.941943,0.19226
1.66822,0.54396
1.92197,0.74236
1.13744,0.43068
1.02712,0.43992
1.0223,0.38904
1.08784,0.4146
0.838358,0.45514
0.974746,0.47046
1.34681,0.3025
2.70804,0.71296
1.92197,0.74236
1.36311,0.27264
1.70808,0.7156
1.70503,0.3177
1.70871,0.48292
0.948198,0.34568
2.77109,0.86724
1.66291,0.26306
1.82962,0.45836
4.13855,0.9586
1.74004,0.77796
1.55247,0.62628
1.75471,0.67678
1.82182,0.4059
1.70196,0.53916
0.838358,0.45514
1.80081,0.81274
1.35821,0.28178
1.88061,0.60134
1.78411,0.50404
1.89705,0.51656
2.77109,0.86724
1.83141,0.45182
1.80824,0.57354
1.72887,0.31012
2.36144,0.68768
1.66712,0.56354
1.71317,0.37206
1.88066,0.571
0.84827,0.48216
1.82701,0.3335
1.74212,0.6352
0.944944,0.30552
0.889681,0.217
1.90662,0.79884
1.75848,0.83784
0.840445,0.37322
1.73022,0.69336
1.41682,0.3
0.888941,0.3561
1.0223,0.38904
0.895486,0.3853
0.981235,0.50946
2.99364,0.8069
1.71296,0.68464
1.77698,0.75888
0.951571,0.43542
0.835,0.37402
1.4046,0.31324
0.789017,0.26226
0.77854,0.42774
0.888637,0.2792
0.843813,0.25222
1.08254,0.5054
1.86913,0.39404
1.74191,0.52286
1.70219,0.66328
1.66826,0.3289
1.83035,0.49804
1.74847,0.84314
1.66822,0.51898
2.30983,0.79698
1.7717,0.76604
1.57914,0.40662
1.74757,0.49052
4.06848,0.90694
1.66931,0.376
1.42107,0.33366
1.692,0.41574
1.71191,0.77348
1.03223,0.24044
1.87243,0.4483
1.73022,0.69336
1.90664,0.83308
1.0378,0.36128
2.40416,0.3413
1.69729,0.71538
1.53447,0.50732
1.41682,0.3
1.90859,0.8002
1.74784,0.54088
0.771987,0.21636
1.06477,0.31676
1.88352,0.4952
2.35309,0.62996
1.40786,0.3242
1.85224,0.67034
1.01989,0.21624
1.87098,0.53444
1.86848,0.19494
1.89967,0.53404
0.965867,0.36088
1.09459,0.54314
1.36112,0.39442
0.89176,0.37368
1.77506,0.59804
0.783651,0.37406
1.83813,0.63656
2.96161,0.6073
1.89031,0.6636
1.67756,0.65316
0.831621,0.22236
1.8946,0.31702
1.83293,0.64056
1.72154,0.80302
0.888462,0.39718
1.08254,0.5054
1.80097,0.54102
1.66826,0.3289
0.78693,0.47746
1.7583,0.82672
2.80955,0.59478
0.780536,0.19094
1.95066,0.2466
2.74976,0.7835
1.95923,0.82012
1.84145,0.71952
1.08395,0.36718
1.82701,0.3335
1.43795,0.45922
0.983149,0.47844
1.83353,0.35638
0.948198,0.34568
1.90204,0.35182
0.966464,0.33564
1.1248,0.2458
2.73091,0.80108
0.967069,0.21416
1.03596,0.41694
1.78267,0.79744
1.95634,0.8136
1.73993,0.84794
1.02552,0.3581
1.07105,0.2146
0.935528,0.18388
4.02888,0.9034
0.883945,0.20704
1.71652,0.46334
1.06922,0.19218
1.07761,0.29926
1.6638,0.20928
1.9143,0.70934
1.74834,0.82726
1.51934,0.2978
1.66931,0.376
0.787988,0.48074
1.02388,0.42746
0.971386,0.42814
1.89713,0.83226
1.87812,0.78752
1.76706,0.7967
0.840478,0.21078
3.01437,0.89414
1.35821,0.28178
1.01227,0.20136
0.884365,0.22842
1.89651,0.75664
4.04168,0.75036
1.34778,0.3301
1.7068,0.58296
0.889681,0.20564
1.82424,0.7731
1.73022,0.69336
1.86533,0.51876
1.0891,0.48812
1.67522,0.60692
1.66806,0.3757
1.03087,0.5188
1.40513,0.29258
5.8003,0.89318
0.832043,0.24716
1.7841,0.83082
0.902277,0.36268
1.89862,0.84632
1.8026,0.86744
0.970893,0.39004
1.77698,0.59234
1.51117,0.36826
1.86913,0.41266
1.75919,0.33924
1.77765,0.69088
1.80097,0.54102
1.06922,0.29074
1.69487,0.74798
1.77232,0.66668
0.898935,0.4451
1.75005,0.79648
2.24098,0.57266
1.86191,0.68978
2.42024,0.61514
0.842784,0.47382
1.36311,0.27264
1.6607,0.4839
1.85987,0.70948
1.71304,0.69444
1.74197,0.51594
0.983149,0.47844
0.956925,0.33256
0.782705,0.3989
1.82938,0.52642
2.41631,0.61248
1.06393,0.24114
1.77424,0.8306
4.02926,0.9423
1.90076,0.68332
1.74855,0.78166
1.77698,0.75888
1.02646,0.32728
5.80483,0.97546
1.74431,0.51856
0.938712,0.21288
1.02656,0.46166
1.70808,0.7156
1.57133,0.31498
1.72898,0.34422
0.840819,0.44158
1.8026,0.84136
0.965867,0.36088
1.13919,0.43412
0.829127,0.3008
1.76706,0.7967
1.70219,0.66328
1.08991,0.32696
1.08395,0.36718
0.949215,0.32836
2.40814,0.58304
1.02807,0.22456
1.85987,0.70948
1.08469,0.34424
1.08784,0.4146
2.40814,0.58304
1.80101,0.80566
1.70855,0.53338
0.888458,0.2837
2.70156,0.54218
1.75809,0.60982
1.91832,0.54316
1.06393,0.24114
1.13843,0.31404
2.75282,0.8053
0.963111,0.20984
1.41682,0.3
1.89031,0.67422
1.09071,0.5515
1.55072,0.56348
4.02885,0.29844
1.07094,0.36374
1.74758,0.54092
1.67228,0.54408
1.75839,0.81808
1.86451,0.70606
0.88138,0.27512
2.98551,0.66554
1.80072,0.7931
1.02208,0.1984
1.1466,0.37578
1.66291,0.49946
0.827057,0.23452
1.02573,0.41502
0.948662,0.29142
0.938712,0.21288
1.08713,0.48946
1.85522,0.7384
2.09846,0.57674
0.841323,0.42606
1.82451,0.17442
1.74972,0.47588
2.01227,0.41924
2.68959,0.61624
1.08991,0.32696
1.13744,0.43068
1.35906,0.51018
1.06614,0.27288
4.04855,0.92626
1.06742,0.29204
1.7442,0.27288
1.51972,0.29724
0.905318,0.42574
1.50957,0.36942
4.09861,0.92678
2.7986,0.87234
1.92863,0.77988
0.776136,0.3039
0.902996,0.4786
0.935528,0.23708
0.841424,0.48062
0.83293,0.23368
1.06922,0.29074
1.91832,0.54316
0.780536,0.39112
2.09846,0.57648
2.45623,0.513
2.80955,0.59478
0.947716,0.23836
1.02374,0.42918
0.841391,0.43096
1.66091,0.51628
1.66931,0.376
1.51117,0.36826
1.88231,0.56662
1.35724,0.50136
1.80072,0.7931
1.85025,0.68478
0.772933,0.22814
1.89862,0.84632
0.97272,0.39172
1.07088,0.20256
0.838427,0.16464
1.7841,0.83082
1.02388,0.42746
1.73267,0.68736
1.70861,0.49456
0.779486,0.4072
2.74791,0.82016
4.50139,0.91074
1.02388,0.42746
1.86997,0.3968
1.76616,0.58076
1.03243,0.33714
1.8026,0.84944
1.82424,0.7731
2.38695,0.47672
1.66908,0.62806
0.844229,0.41162
1.09405,0.48844
1.97822,0.6855
1.02497,0.28028
1.90204,0.35182
1.68767,0.33452
1.74839,0.79044
1.03117,0.34226
4.05815,0.89934
0.770868,0.20816
1.70172,0.61104
2.87028,0.55104
1.13517,0.50496
1.35727,0.29056
1.71433,0.73516
1.08779,0.46612
0.898935,0.4451
0.842784,0.47382
1.364,0.53178
1.364,0.53178
1.7303,0.6212
1.67545,0.5578
2.72738,0.89636
1.40786,0.3242
0.78073,0.37412
0.839189,0.1702
3.01323,0.92296
0.948662,0.29352
1.86988,0.25516
2.74524,0.87792
1.70078,0.50138
0.841535,0.19032
0.898935,0.4451
1.79735,0.51286
1.70078,0.50138
0.90386,0.44032
1.06551,0.16566
1.67967,0.63442
2.39532,0.36734
1.01561,0.21816
0.941943,0.20184
1.9277,0.77036
1.79735,0.55614
0.972422,0.41534
1.87111,0.39524
1.67147,0.57854
1.07895,0.37742
1.12265,0.20602
0.883245,0.21212
1.86095,0.7871
0.902277,0.36268
1.70808,0.7156
1.88447,0.41376
1.66591,0.31392
1.12991,0.28874
0.879386,0.27968
1.82629,0.38008
1.06833,0.30436
1.74092,0.17976
1.79914,0.60572
2.88669,0.90878
1.74623,0.47044
1.88005,0.76452
1.36317,0.4681
1.13604,0.36988
1.692,0.41574
1.8046,0.5665
1.88752,0.78666
1.82743,0.56186
0.887133,0.2794
1.5267,0.56466
5.82936,0.97178
0.841391,0.3665
4.02885,0.29844
1.90675,0.81974
2.7986,0.87234
0.780618,0.21194
0.841535,0.19032
1.66525,0.51676
1.86898,0.54292
1.01561,0.21816
2.83485,0.83898
1.71594,0.52612
2.03639,0.52236
1.07384,0.29186
0.944668,0.36134
1.83293,0.64056
0.949215,0.32836
1.52388,0.41846
1.35724,0.50136
1.36007,0.30238
1.13843,0.31404
0.94589,0.29678
2.40416,0.3413
0.902914,0.47174
1.73267,0.6491
1.82451,0.17442
1.82727,0.42022
1.02981,0.53594
1.38925,0.583
1.69491,0.31502
2.70804,0.84064
2.00592,0.41534
1.87909,0.57586
0.771987,0.2441
1.75033,0.7625
1.78863,0.22392
2.79852,0.84174
1.92197,0.74236
1.71317,0.42036
1.89715,0.82496
1.36414,0.48558
2.72584,0.86152
1.69083,0.55646
2.86349,0.55576
1.8323,0.35014
1.826,0.5725
1.52026,0.53936
1.75123,0.33756
0.980086,0.47114
1.5267,0.56466
1.06847,0.25154
1.03117,0.34226
1.78552,0.78136
0.849676,0.3726
1.7069,0.69734
2.81788,0.58552
2.44773,0.56732
1.06987,0.3551
0.826111,0.16066
1.864,0.2634
0.838427,0.16464
1.85987,0.70672
1.08713,0.48946
0.840589,0.4738
2.42024,0.61514
1.4046,0.32016
1.80097,0.54102
0.958634,0.44986
0.884105,0.21946
2.38554,0.50966
1.52805,0.35426
1.9564,0.8201
1.0884,0.47428
1.71317,0.37206
1.12476,0.32502
1.73205,0.59778
0.883444,0.30148
1.86992,0.53238
