1_value,2_value,3_value,4_value,5_value,EV,max_suit,win_rate
0,3,8,11,11,0.598156,3,0.83796
0,0,0,2,5,0.743758,3,0.21632
0,2,2,4,12,0.483846,3,0.54616
0,1,3,7,11,0.350145,3,0.39612
0,4,5,6,10,0.336299,2,0.36404
0,1,9,11,12,0.382169,3,0.55448
0,0,2,7,10,0.423429,2,0.3986
0,0,3,4,7,0.433291,2,0.25412
0,2,3,8,10,0.319566,2,0.32736
0,3,3,10,12,0.486825,2,0.57976
0,1,5,8,9,0.329635,3,0.36264
0,0,1,4,12,0.428585,2,0.50396
0,1,3,7,9,0.306541,2,0.28416
0,3,3,6,10,0.473808,2,0.37324
0,1,3,5,7,0.304429,2,0.23208
0,2,3,6,10,0.349765,3,0.35736
0,0,4,7,11,0.427065,2,0.46852
0,4,5,7,9,0.321104,2,0.33632
0,1,5,8,9,0.329635,3,0.36264
0,5,9,12,12,0.597133,2,0.87604
0,2,3,5,10,0.323042,2,0.31488
0,0,5,6,12,0.428229,2,0.54644
0,4,7,8,8,0.564298,3,0.78436
0,4,8,9,10,0.371293,3,0.45164
0,3,6,7,11,0.353716,3,0.4422
0,1,6,9,10,0.342628,3,0.4214
0,2,9,10,12,0.381375,3,0.41228
0,1,7,9,11,0.330548,2,0.45156
0,3,6,10,11,0.352379,3,0.47068
0,1,2,4,8,0.36908,2,0.34108
0,0,2,5,5,0.640584,2,0.71448
0,4,7,8,8,0.564298,3,0.78436
0,1,3,10,12,0.410855,2,0.50456
0,6,6,7,12,0.521872,2,0.54092
0,0,3,4,9,0.427687,2,0.315
0,0,1,6,12,0.431038,2,0.53584
0,4,5,6,10,0.336299,2,0.36404
0,0,11,12,12,0.70015,2,0.86576
0,0,1,8,9,0.42203,2,0.3376
0,0,4,9,10,0.45007,3,0.43536
0,8,11,11,11,0.794223,2,0.94036
0,4,10,10,11,0.573105,2,0.8578
0,8,9,11,12,0.461734,3,0.62748
0,4,7,7,8,0.535897,2,0.74192
0,0,1,6,8,0.441437,3,0.32152
0,0,2,5,6,0.424163,2,0.22268
0,1,7,9,11,0.330548,2,0.45156
0,1,7,12,12,0.600693,2,0.8454
0,1,3,5,12,0.402083,2,0.47892
0,0,8,10,12,0.465882,3,0.61128
0,7,10,10,11,0.577837,2,0.85184
0,5,6,7,8,0.478963,2,0.51644
0,0,11,12,12,0.70015,2,0.86576
0,0,6,7,12,0.452261,3,0.55552
0,0,8,9,10,0.457185,2,0.4638
0,1,8,9,9,0.558338,2,0.80724
0,4,5,9,12,0.534572,4,0.68476
0,0,4,7,11,0.427065,2,0.46852
0,0,6,7,10,0.436366,2,0.4188
0,0,9,10,12,0.466397,3,0.60608
0,6,7,10,12,0.357165,2,0.48688
0,0,3,8,9,0.447285,3,0.3808
0,3,5,5,12,0.511152,2,0.75452
0,2,6,7,8,0.322396,2,0.3192
0,2,4,6,11,0.329436,2,0.3902
0,1,7,11,11,0.598086,3,0.84308
0,5,9,12,12,0.597133,2,0.87604
0,2,7,10,11,0.335051,2,0.43968
0,4,9,9,10,0.559582,2,0.80868
0,2,3,5,12,0.413036,2,0.48432
