strength_score,win_rate
2.38471,0.56612
2.53854,0.61424
0.620816,0.01672
1.00776,0.29192
3.6247,0.81724
0.931616,0.29164
2.53854,0.61424
0.930054,0.13836
2.46467,0.51728
5.77311,0.82616
2.46163,0.56844
0.620816,0.01672
0.931608,0.23808
1.00698,0.24584
1.39315,0.4268
2.07702,0.59552
3.00851,0.72772
2.07702,0.59552
1.54699,0.40836
1.93004,0.40204
2.69238,0.61436
1.46772,0.36184
0.853908,0.17128
2.38469,0.58132
2.69239,0.54792
2.61548,0.61348
2.46163,0.56844
2.69314,0.68716
0.853908,0.17128
1.00699,0.2646
2.38469,0.58132
1.77465,0.44668
0.851585,0.06096
0.8539,0.13412
5.9285,0.81376
0.853123,0.09316
1.2393,0.35032
1.0093,0.36868
1.00775,0.2758
1.00932,0.42344
1.08467,0.2798
2.69314,0.68716
5.77311,0.82616
2.85385,0.67988
1.39315,0.45392
1.85546,0.56892
2.38702,0.66128
2.93008,0.70272
1.24005,0.30212
3.08391,0.73804
2.69849,0.70624
4.54154,0.87352
2.92316,0.68196
4,0.76948
1.0093,0.36868
2.69314,0.68716
2.46163,0.56844
1.85546,0.5646
2.38697,0.50644
1.00854,0.35748
1.16316,0.3302
2.23086,0.55924
1.00854,0.3454
1.4685,0.36996
1.24008,0.3678
0.929285,0.1052
2.07698,0.48224
1.08467,0.2798
0.851577,0.0512
1.69773,0.43532
1.23852,0.29208
3.24,0.48292
1.39238,0.39864
0.852362,0.11404
1.39315,0.41448
2.61544,0.57832
1.62313,0.44348
1.93082,0.54436
3.6247,0.81724
1.00854,0.30824
0.930823,0.1612
0.8539,0.13412
4.54154,0.87352
0.931601,0.2234
1.93161,0.53872
1.00854,0.3454
2.46162,0.54836
6.00389,0.865
2.46238,0.59384
2.46467,0.51728
1.85312,0.48752
2.53855,0.6264
2.07702,0.59552
1.46772,0.36184
1.31699,0.37964
2.23082,0.446
2.61548,0.6238
1.24008,0.3678
2.38775,0.60192
0.851585,0.05916
0.852362,0.11404
0.774654,0.03544
1.62313,0.44348
1.77775,0.47816
1.00854,0.29296
6.23082,0.8676
2.92315,0.61668
1.85544,0.51932
0.853908,0.17128
0.930054,0.13836
1.85544,0.51932
2.077,0.45764
1.54622,0.36844
2.61548,0.61348
2.76932,0.63952
2.23086,0.57164
1.0093,0.32276
0.776208,0.10904
2.8462,0.64396
1.54465,0.3784
0.931608,0.23808
1.08467,0.2798
1.00854,0.35748
2.61544,0.57832
2.92315,0.61668
2.46163,0.62116
0.774662,0.03956
2.23086,0.55924
2.38471,0.56636
4,0.78224
0.853908,0.17128
1.77855,0.526
1.31699,0.4318
0.9316,0.1946
1.24008,0.3678
1.39233,0.34724
2.46161,0.59944
1.93004,0.44676
2.77085,0.66908
1.23852,0.29208
1.62235,0.42628
4.61846,0.8804
2.61696,0.66892
0.931616,0.25844
2.53852,0.51704
0.931601,0.20336
2.62007,0.62184
1.46772,0.36184
0.620808,0.00932
1.39233,0.34724
1.7785,0.48656
2.46467,0.51728
5.61925,0.70788
1.31698,0.35352
1.46772,0.36184
1.47005,0.41172
2.07698,0.48224
1.70005,0.45036
5.77311,0.82616
1.16316,0.3302
3.85545,0.7278
1.1616,0.28256
2.61854,0.70496
1.85545,0.48964
2.92316,0.68196
1.54619,0.42796
2.30775,0.52624
1.00854,0.30824
1.39315,0.45392
2.61854,0.70496
1.23852,0.29208
1.85235,0.4804
2.53854,0.54208
1.77855,0.526
2.85392,0.77852
1.00775,0.2716
2.69623,0.70456
1.0093,0.32276
1.47081,0.39848
2.84618,0.59172
1.85312,0.48752
1.54622,0.36844
2.15392,0.5646
1.85545,0.48964
1.85313,0.49696
2.54317,0.66392
1.00932,0.3246
4.61846,0.8804
0.774654,0.03004
3.24,0.48292
0.776216,0.10848
2.53854,0.54208
1.77541,0.40548
3.6247,0.81724
1.77776,0.45368
0.931601,0.2234
1.2393,0.35032
1.00775,0.2758
0.931601,0.2234
0.776216,0.10848
4.54154,0.87352
1.00932,0.36656
2.30775,0.52624
1.39315,0.4268
0.930816,0.13112
1.93161,0.53872
1.77855,0.526
1.7785,0.48656
1.00932,0.36656
1.77776,0.45368
1.77775,0.47816
1.85235,0.43596
1.54465,0.3784
0.853123,0.09316
0.853123,0.09316
2.38697,0.50644
2.93008,0.70272
2.85392,0.77852
0.930839,0.21336
1.93004,0.44676
2.23235,0.45308
1.00854,0.33396
0.851585,0.06096
2.30778,0.60552
2.1547,0.61964
1.7785,0.48656
0.929285,0.1052
2.15468,0.58088
0.698516,0.05516
2.76932,0.63952
2.85385,0.67988
1.39238,0.39864
1.00932,0.42344
0.774662,0.05516
2.38469,0.5588
0.853908,0.133
0.930062,0.13608
2.15388,0.39656
3.77465,0.70804
0.852362,0.10932
1.93162,0.60688
1.00698,0.24192
1.85388,0.48728
0.929277,0.10528
2.38697,0.50644
1.77776,0.45368
1.7785,0.48656
1.54699,0.40836
0.931585,0.17212
2.53855,0.6264
0.930062,0.13608
1.54622,0.36844
1.00698,0.23392
4,0.76948
1.77775,0.47816
1.16316,0.3302
0.774654,0.03544
1.93004,0.40204
2.8462,0.64396
0.7762,0.06124
0.851585,0.06096
1.39233,0.34724
0.620808,0.00932
1.69773,0.42832
2.69239,0.54792
3.00698,0.72436
0.853916,0.20448
1.00931,0.30484
1.62235,0.41392
1.23852,0.29208
1.54619,0.42796
2.76932,0.63952
2.46162,0.5514
2.46467,0.51728
3.85545,0.7278
0.776208,0.0974
2.92316,0.68688
1.23852,0.31504
1.31698,0.35352
1.93006,0.47744
1.93006,0.47744
4.54154,0.86796
1.93004,0.44676
2.1547,0.61964
1.08621,0.31292
2.69849,0.70624
1.08389,0.27432
0.774662,0.03956
2.46467,0.51728
2.38697,0.50644
2.38471,0.56636
1.00465,0.17448
0.851577,0.0512
