i_value,j_value,distance,suited,ratio
0,1,1,1,0.41542
0,2,2,1,0.36981
0,3,3,1,0.42712
0,4,4,1,0.44498
0,5,5,1,0.42635
0,6,6,1,0.44822
0,7,7,1,0.42869
0,8,8,1,0.45075
0,9,9,1,0.4761
0,10,10,1,0.47231
0,11,11,1,0.53417
0,12,1,1,0.59976
0,0,0,0,0.57319
0,1,1,0,0.3934
0,2,2,0,0.36648
0,3,3,0,0.38086
0,4,4,0,0.42347
0,5,5,0,0.39569
0,6,6,0,0.4285
0,7,7,0,0.43315
0,8,8,0,0.41317
0,9,9,0,0.45498
0,10,10,0,0.45411
0,11,11,0,0.52863
0,12,1,0,0.59067
1,2,1,1,0.46841
1,3,2,1,0.48703
1,4,3,1,0.49287
1,5,4,1,0.5002
1,6,5,1,0.48695
1,7,6,1,0.52631
1,8,7,1,0.5273
1,9,8,1,0.57398
1,10,9,1,0.59134
1,11,10,1,0.60203
1,12,2,1,0.63595
1,0,1,0,0.65837
1,1,0,0,0.60309
1,2,1,0,0.43244
1,3,2,0,0.3984
1,4,3,0,0.41491
1,5,4,0,0.38425
1,6,5,0,0.42711
1,7,6,0,0.43308
1,8,7,0,0.45025
1,9,8,0,0.49594
1,10,9,0,0.53412
1,11,10,0,0.5527
1,12,2,0,0.60479
2,3,1,1,0.48527
2,4,2,1,0.49955
2,5,3,1,0.46356
2,6,4,1,0.49462
2,7,5,1,0.5196
2,8,6,1,0.5517
2,9,7,1,0.53507
2,10,8,1,0.56976
2,11,9,1,0.59703
2,12,3,1,0.66156
2,0,2,0,0.66745
2,1,1,0,0.39515
2,2,0,0,0.64243
2,3,1,0,0.38221
2,4,2,0,0.39801
2,5,3,0,0.32705
2,6,4,0,0.3997
2,7,5,0,0.42013
2,8,6,0,0.45028
2,9,7,0,0.45313
2,10,8,0,0.4844
2,11,9,0,0.54712
2,12,3,0,0.61653
3,4,1,1,0.52894
3,5,2,1,0.50586
3,6,3,1,0.52765
3,7,4,1,0.5496
3,8,5,1,0.56084
3,9,6,1,0.55248
3,10,7,1,0.58849
3,11,8,1,0.62351
3,12,4,1,0.66062
