Days,Time,Building and Room,Seats,Enrolled,Waits,Dept_name,
-T-R---, 2:00P-5:20P, Givens / LL, 13, 9, 0, ARCHITECTURE(A46), 
-T-R---, 2:00P-5:20P, Givens / LL, 12, 9, 0, ARCHITECTURE(A46), 
-T-R---, 2:00P-5:20P, Givens / LL, 12, 10, 0, ARCHITECTURE(A46), 
-T-R---, 2:00P-5:20P, Givens / LL, 12, 9, 0, ARCHITECTURE(A46), 
-T-R---, 2:00P-5:20P, Givens / LL, 12, 9, 0, ARCHITECTURE(A46), 
-T-R---, 2:00P-5:20P, Givens / LL, 12, 8, 0, ARCHITECTURE(A46), 
----F---T-----, 10:00A-10:50A10:00A-12:50P, Givens / 300W  Givens / 300W, 20, 10, 0, ARCHITECTURE(A46), 
----F--, 11:00A-11:50A, Givens / 116, 80, 59, 0, ARCHITECTURE(A46), 
-T-R---, 1:00P-5:20P, Givens / 300W, 12, 11, 0, ARCHITECTURE(A46), 
M-W----, 1:00P-5:20P, Givens / 200W, 10, 9, 0, ARCHITECTURE(A46), 
M-W----, 1:00P-5:20P, Givens / 200W, 10, 6, 0, ARCHITECTURE(A46), 
M-W----, 1:00P-5:20P, Givens / 200E, 10, 9, 0, ARCHITECTURE(A46), 
M-W----, 1:00P-5:20P, Givens / 200W, 10, 8, 0, ARCHITECTURE(A46), 
M-W----, 1:00P-5:20P, Givens / 200W, 10, 6, 0, ARCHITECTURE(A46), 
M-W----, 1:00P-5:20P, Givens / 200E, 10, 6, 0, ARCHITECTURE(A46), 
M-W-F--, 1:00P-5:20P, Weil / 300N, 10, 9, 0, ARCHITECTURE(A46), 
M-W-F--, 1:00P-5:20P, Weil / 300N, 10, 9, 0, ARCHITECTURE(A46), 
--W----, 8:30A-11:20A, Weil / 230, 12, 8, 0, ARCHITECTURE(A46), 
-T-----, 10:00A-11:20A, TBA, 100, 85, 0, ARCHITECTURE(A46), 
---R---, 10:00A-11:20A, Givens / 115, 16, 15, 0, ARCHITECTURE(A46), 
---R---, 10:00A-11:20A, Steinberg / 25, 12, 11, 0, ARCHITECTURE(A46), 
