Days,Time,Building and Room,Seats,Enrolled,Waits,Dept_name,
--W----, 5:30P-8:30P, Hillman / 370, 18, 10, 0, Practice Methods(S65), 
---R---, 1:00P-4:00P, Hillman / 370, 20, 15, 0, Practice Methods(S65), 
M------, 5:30P-8:30P, Remote / SW, 20, 20, 0, Practice Methods(S65), 
M------, 1:00P-4:00P, Hillman / 270, 20, 20, 0, Practice Methods(S65), 
--W----, 1:00P-4:00P, Goldfarb / 135, 16, 13, 0, Brown PhD(S90), 
---R---, 9:00A-12:00P, Hillman / 110, 16, 7, 0, Brown PhD(S90), 
TBA, , See Instructor / NONE, 25, 0, 0, Brown PhD(S90), 
TBA, , See Instructor / NONE, 5, 2, 0, Brown PhD(S90), 
TBA, , See Instructor / NONE, 2, 1, 0, Brown PhD(S90), 
TBA, , See Instructor / NONE, 5, 1, 0, Brown PhD(S90), 
TBA, , See Instructor / NONE, 1, 0, 0, Brown PhD(S90), 
TBA, , See Instructor / NONE, 999, 1, 0, Brown PhD(S90), 
TBA, , See Instructor / NONE, 999, 0, 0, Brown PhD(S90), 
TBA, , See Instructor / NONE, 999, 1, 0, Brown PhD(S90), 
TBA, , See Instructor / NONE, 999, 1, 0, Brown PhD(S90), 
TBA, , See Dept /, 25, 0, 0, Brown PhD(S90), 
TBA, , See Dept /, 5, 0, 0, Brown PhD(S90), 
TBA, , TBA, 2, 1, 0, Brown PhD(S90), 
TBA, , See Instructor / NONE, 999, 1, 0, Brown PhD(S90), 
TBA, , See Instructor / NONE, 999, 1, 0, Brown PhD(S90), 
TBA, , See Instructor / NONE, 999, 1, 0, Brown PhD(S90), 
TBA, , See Instructor / NONE, 999, 1, 0, Brown PhD(S90), 
TBA, , TBA, 25, 0, 0, Brown PhD(S90), 
TBA, , TBA, 5, 0, 0, Brown PhD(S90), 
TBA, , See Instructor / NONE, 999, 1, 0, Brown PhD(S90), 
TBA, , See Instructor / NONE, 999, 1, 0, Brown PhD(S90), 
TBA, , See Instructor / NONE, 999, 1, 0, Brown PhD(S90), 
TBA, , See Instructor / NONE, 999, 1, 0, Brown PhD(S90), 
TBA, , See Instructor / NONE, 999, 1, 0, Brown PhD(S90), 
TBA, , See Instructor / NONE, 999, 1, 0, Brown PhD(S90), 
TBA, , See Instructor / NONE, 999, 1, 0, Brown PhD(S90), 
TBA, , TBA, 10, 1, 0, Brown PhD(S90), 
TBA, , TBA, 10, 0, 0, Brown PhD(S90), 
TBA, , See Instructor / NONE, 999, 1, 0, Brown PhD(S90), 
TBA, , See Instructor / NONE, 999, 1, 0, Brown PhD(S90), 
TBA, , TBA, 2, 0, 0, Brown PhD(S90), 
TBA, , TBA, 25, 1, 0, Brown PhD(S90), 
TBA, , TBA, 10, 1, 0, Brown PhD(S90), 
TBA, , See Instructor / NONE, 999, 1, 0, Brown PhD(S90), 
TBA, , See Instructor / NONE, 999, 1, 0, Brown PhD(S90), 
TBA, , See Instructor / NONE, 999, 1, 0, Brown PhD(S90), 
TBA, , TBA, 25, 0, 0, Brown PhD(S90), 
TBA, , TBA, 10, 0, 0, Brown PhD(S90), 
TBA, , See Instructor / NONE, 999, 1, 0, Brown PhD(S90), 
TBA, , See Instructor / NONE, 999, 1, 0, Brown PhD(S90), 
TBA, , See Instructor / NONE, 999, 1, 0, Brown PhD(S90), 
TBA, , See Instructor / NONE, 999, 0, 0, Brown PhD(S90), 
TBA, , TBA, 50, 0, 0, Brown PhD(S90), 
TBA, , TBA, 10, 0, 0, Brown PhD(S90), 
TBA, , TBA, 10, 1, 0, Brown PhD(S90), 
TBA, , TBA, 10, 1, 0, Brown PhD(S90), 
TBA, , TBA, 2, 1, 0, Brown PhD(S90), 
TBA, , See Instructor / NONE, 999, 1, 0, Brown PhD(S90), 
TBA, , See Instructor / NONE, 999, 1, 0, Brown PhD(S90), 
TBA, , See Instructor / NONE, 999, 1, 0, Brown PhD(S90), 
TBA, , See Instructor / NONE, 999, 1, 0, Brown PhD(S90), 
TBA, , See Instructor / NONE, 999, 1, 0, Brown PhD(S90), 
TBA, , See Instructor / NONE, 999, 1, 0, Brown PhD(S90), 
TBA, , See Instructor / NONE, 999, 1, 0, Brown PhD(S90), 
--W----, 12:00P-1:00P, Goldfarb / 359, 20, 5, 0, Brown PhD(S90), 
TBA, , See Instructor / NONE, 999, 5, 0, Brown PhD(S90), 
-T-----, 9:00A-12:00P, Goldfarb / 246, 15, 5, 0, Brown PhD(S90), 
-T-----, 1:00P-4:00P, TBA, 15, 1, 0, Brown PhD(S90), 
M------, 12:00P-1:00P, Goldfarb / 359, 15, 8, 0, Brown PhD(S90), 
M------, 1:00P-4:00P, Hillman / 110, 12, 9, 0, Brown PhD(S90), 
TBA, , Hillman / 110, 12, 9, 0, Brown PhD(S90), 
---R---, 1:00P-4:00P, Goldfarb / 39, 20, 18, 0, Brown PhD(S90), 
TBA, , See Instructor / NONE, 5, 1, 0, Brown PhD(S90), 
TBA, , TBA, 15, 0, 0, Brown PhD(S90), 
TBA, , See Instructor / NONE, 3, 1, 0, Brown PhD(S90), 
TBA, , See Instructor / NONE, 3, 1, 0, Brown PhD(S90), 
TBA, , See Instructor / NONE, 3, 1, 0, Brown PhD(S90), 
TBA, , See Instructor / NONE, 3, 2, 0, Brown PhD(S90), 
TBA, , See Instructor / NONE, 4, 1, 0, Brown PhD(S90), 
TBA, , See Instructor / NONE, 2, 1, 0, Brown PhD(S90), 
TBA, , See Instructor / NONE, 2, 1, 0, Brown PhD(S90), 
TBA, , See Instructor / NONE, 50, 8, 0, Brown PhD(S90), 
TBA, , See Instructor / NONE, 50, 2, 0, Brown PhD(S90), 
TBA, , See Instructor / NONE, 50, 2, 0, Brown PhD(S90), 
TBA, , See Instructor / NONE, 50, 1, 0, Brown PhD(S90), 
TBA, , See Instructor / NONE, 50, 2, 0, Brown PhD(S90), 
