,class_id,day_week,time_day,Building,num_students,Friends
3,117714,M,7.3,AB Law Bldg,0,0
9,117720,M,8.3,AB Law Bldg,0,0
15,117726,M,9.3,AB Law Bldg,0,0
21,117732,M,10.3,AB Law Bldg,0,0
27,117738,M,11.3,AB Law Bldg,0,0
33,117744,M,12.3,AB Law Bldg,0,0
39,117750,M,13.3,AB Law Bldg,0,0
45,117756,M,14.3,AB Law Bldg,0,0
51,117762,M,15.3,AB Law Bldg,0,0
57,117768,M,16.3,AB Law Bldg,12,0
63,117774,M,17.3,AB Law Bldg,12,0
69,117780,M,18.3,AB Law Bldg,82,0
75,117786,M,19.3,AB Law Bldg,82,0
82,117793,T,7.3,AB Law Bldg,0,0
88,117799,T,8.3,AB Law Bldg,0,0
94,117805,T,9.3,AB Law Bldg,41,0
100,117811,T,10.3,AB Law Bldg,0,0
106,117817,T,11.3,AB Law Bldg,61,0
112,117823,T,12.3,AB Law Bldg,0,0
118,117829,T,13.3,AB Law Bldg,0,0
124,117835,T,14.3,AB Law Bldg,0,0
130,117841,T,15.3,AB Law Bldg,0,0
136,117847,T,16.3,AB Law Bldg,0,0
142,117853,T,17.3,AB Law Bldg,0,0
148,117859,T,18.3,AB Law Bldg,84,0
154,117865,T,19.3,AB Law Bldg,84,0
161,117872,W,7.3,AB Law Bldg,0,0
167,117878,W,8.3,AB Law Bldg,46,0
173,117884,W,9.3,AB Law Bldg,7,0
179,117890,W,10.3,AB Law Bldg,0,0
185,117896,W,11.3,AB Law Bldg,0,0
191,117902,W,12.3,AB Law Bldg,0,0
197,117908,W,13.3,AB Law Bldg,0,0
203,117914,W,14.3,AB Law Bldg,0,0
209,117920,W,15.3,AB Law Bldg,0,0
215,117926,W,16.3,AB Law Bldg,174,0
221,117932,W,17.3,AB Law Bldg,174,0
227,117938,W,18.3,AB Law Bldg,57,0
233,117944,W,19.3,AB Law Bldg,0,0
240,117951,H,7.3,AB Law Bldg,0,0
246,117957,H,8.3,AB Law Bldg,0,0
252,117963,H,9.3,AB Law Bldg,0,0
258,117969,H,10.3,AB Law Bldg,0,0
264,117975,H,11.3,AB Law Bldg,0,0
270,117981,H,12.3,AB Law Bldg,0,0
276,117987,H,13.3,AB Law Bldg,0,0
282,117993,H,14.3,AB Law Bldg,0,0
288,117999,H,15.3,AB Law Bldg,0,0
294,118005,H,16.3,AB Law Bldg,20,0
300,118011,H,17.3,AB Law Bldg,20,0
306,118017,H,18.3,AB Law Bldg,20,0
312,118023,H,19.3,AB Law Bldg,0,0
319,118030,F,7.3,AB Law Bldg,0,0
325,118036,F,8.3,AB Law Bldg,0,0
331,118042,F,9.3,AB Law Bldg,47,0
337,118048,F,10.3,AB Law Bldg,55,0
343,118054,F,11.3,AB Law Bldg,55,0
349,118060,F,12.3,AB Law Bldg,0,0
355,118066,F,13.3,AB Law Bldg,0,0
361,118072,F,14.3,AB Law Bldg,0,0
367,118078,F,15.3,AB Law Bldg,0,0
373,118084,F,16.3,AB Law Bldg,0,0
379,118090,F,17.3,AB Law Bldg,0,0
385,118096,F,18.3,AB Law Bldg,0,0
391,118102,F,19.3,AB Law Bldg,0,0
398,118109,M,7.3,Athletic Complx,0,0
404,118115,M,8.3,Athletic Complx,0,0
410,118121,M,9.3,Athletic Complx,0,0
416,118127,M,10.3,Athletic Complx,0,0
422,118133,M,11.3,Athletic Complx,0,0
428,118139,M,12.3,Athletic Complx,0,0
434,118145,M,13.3,Athletic Complx,0,0
440,118151,M,14.3,Athletic Complx,0,0
446,118157,M,15.3,Athletic Complx,0,0
452,118163,M,16.3,Athletic Complx,0,0
458,118169,M,17.3,Athletic Complx,0,0
464,118175,M,18.3,Athletic Complx,0,0
470,118181,M,19.3,Athletic Complx,0,0
477,118188,T,7.3,Athletic Complx,0,0
483,118194,T,8.3,Athletic Complx,0,0
489,118200,T,9.3,Athletic Complx,0,0
495,118206,T,10.3,Athletic Complx,17,0
501,118212,T,11.3,Athletic Complx,0,0
507,118218,T,12.3,Athletic Complx,0,0
513,118224,T,13.3,Athletic Complx,0,0
519,118230,T,14.3,Athletic Complx,0,0
525,118236,T,15.3,Athletic Complx,0,0
531,118242,T,16.3,Athletic Complx,12,0
537,118248,T,17.3,Athletic Complx,0,0
543,118254,T,18.3,Athletic Complx,0,0
549,118260,T,19.3,Athletic Complx,0,0
556,118267,W,7.3,Athletic Complx,0,0
562,118273,W,8.3,Athletic Complx,0,0
568,118279,W,9.3,Athletic Complx,0,0
574,118285,W,10.3,Athletic Complx,0,0
580,118291,W,11.3,Athletic Complx,0,0
586,118297,W,12.3,Athletic Complx,0,0
592,118303,W,13.3,Athletic Complx,0,0
598,118309,W,14.3,Athletic Complx,0,0
604,118315,W,15.3,Athletic Complx,0,0
610,118321,W,16.3,Athletic Complx,0,0
616,118327,W,17.3,Athletic Complx,0,0
622,118333,W,18.3,Athletic Complx,0,0
628,118339,W,19.3,Athletic Complx,0,0
635,118346,H,7.3,Athletic Complx,0,0
641,118352,H,8.3,Athletic Complx,0,0
647,118358,H,9.3,Athletic Complx,0,0
653,118364,H,10.3,Athletic Complx,17,0
659,118370,H,11.3,Athletic Complx,0,0
665,118376,H,12.3,Athletic Complx,0,0
671,118382,H,13.3,Athletic Complx,0,0
677,118388,H,14.3,Athletic Complx,0,0
683,118394,H,15.3,Athletic Complx,0,0
689,118400,H,16.3,Athletic Complx,12,0
695,118406,H,17.3,Athletic Complx,0,0
701,118412,H,18.3,Athletic Complx,0,0
707,118418,H,19.3,Athletic Complx,0,0
714,118425,F,7.3,Athletic Complx,0,0
720,118431,F,8.3,Athletic Complx,0,0
726,118437,F,9.3,Athletic Complx,0,0
732,118443,F,10.3,Athletic Complx,0,0
738,118449,F,11.3,Athletic Complx,0,0
744,118455,F,12.3,Athletic Complx,0,0
750,118461,F,13.3,Athletic Complx,0,0
756,118467,F,14.3,Athletic Complx,0,0
762,118473,F,15.3,Athletic Complx,0,0
768,118479,F,16.3,Athletic Complx,0,0
774,118485,F,17.3,Athletic Complx,0,0
780,118491,F,18.3,Athletic Complx,0,0
786,118497,F,19.3,Athletic Complx,0,0
793,118504,M,7.3,Bauer,0,0
799,118510,M,8.3,Bauer,158,0
805,118516,M,9.3,Bauer,158,0
811,118522,M,10.3,Bauer,134,0
817,118528,M,11.3,Bauer,198,0
823,118534,M,12.3,Bauer,198,0
829,118540,M,13.3,Bauer,222,0
835,118546,M,14.3,Bauer,214,0
841,118552,M,15.3,Bauer,214,0
847,118558,M,16.3,Bauer,154,0
853,118564,M,17.3,Bauer,103,0
859,118570,M,18.3,Bauer,188,0
865,118576,M,19.3,Bauer,188,0
872,118583,T,7.3,Bauer,0,0
878,118589,T,8.3,Bauer,79,0
884,118595,T,9.3,Bauer,79,0
890,118601,T,10.3,Bauer,103,0
896,118607,T,11.3,Bauer,132,0
902,118613,T,12.3,Bauer,132,0
908,118619,T,13.3,Bauer,113,0
914,118625,T,14.3,Bauer,180,0
920,118631,T,15.3,Bauer,180,0
926,118637,T,16.3,Bauer,120,0
932,118643,T,17.3,Bauer,27,0
938,118649,T,18.3,Bauer,359,0
944,118655,T,19.3,Bauer,359,0
951,118662,W,7.3,Bauer,0,0
957,118668,W,8.3,Bauer,221,0
963,118674,W,9.3,Bauer,224,0
969,118680,W,10.3,Bauer,185,0
975,118686,W,11.3,Bauer,213,0
981,118692,W,12.3,Bauer,215,0
987,118698,W,13.3,Bauer,287,0
993,118704,W,14.3,Bauer,271,0
999,118710,W,15.3,Bauer,266,0
1005,118716,W,16.3,Bauer,191,0
1011,118722,W,17.3,Bauer,0,0
1017,118728,W,18.3,Bauer,153,0
1023,118734,W,19.3,Bauer,153,0
1030,118741,H,7.3,Bauer,0,0
1036,118747,H,8.3,Bauer,90,0
1042,118753,H,9.3,Bauer,90,0
1048,118759,H,10.3,Bauer,117,0
1054,118765,H,11.3,Bauer,160,0
1060,118771,H,12.3,Bauer,160,0
1066,118777,H,13.3,Bauer,150,0
1072,118783,H,14.3,Bauer,246,0
1078,118789,H,15.3,Bauer,246,0
1084,118795,H,16.3,Bauer,165,0
1090,118801,H,17.3,Bauer,0,0
1096,118807,H,18.3,Bauer,249,0
1102,118813,H,19.3,Bauer,249,0
1109,118820,F,7.3,Bauer,0,0
1115,118826,F,8.3,Bauer,32,0
1121,118832,F,9.3,Bauer,32,0
1127,118838,F,10.3,Bauer,243,0
1133,118844,F,11.3,Bauer,222,0
1139,118850,F,12.3,Bauer,222,0
1145,118856,F,13.3,Bauer,64,0
1151,118862,F,14.3,Bauer,53,0
1157,118868,F,15.3,Bauer,76,0
1163,118874,F,16.3,Bauer,55,0
1169,118880,F,17.3,Bauer,23,0
1175,118886,F,18.3,Bauer,32,0
1181,118892,F,19.3,Bauer,32,0
1188,118899,M,7.3,Bixby,0,0
1194,118905,M,8.3,Bixby,129,0
1200,118911,M,9.3,Bixby,129,0
1206,118917,M,10.3,Bixby,129,0
1212,118923,M,11.3,Bixby,23,0
1218,118929,M,12.3,Bixby,23,0
1224,118935,M,13.3,Bixby,208,0
1230,118941,M,14.3,Bixby,208,0
1236,118947,M,15.3,Bixby,208,0
1242,118953,M,16.3,Bixby,10,0
1248,118959,M,17.3,Bixby,10,0
1254,118965,M,18.3,Bixby,10,0
1260,118971,M,19.3,Bixby,0,0
1267,118978,T,7.3,Bixby,0,0
1273,118984,T,8.3,Bixby,55,0
1279,118990,T,9.3,Bixby,55,0
1285,118996,T,10.3,Bixby,55,0
1291,119002,T,11.3,Bixby,0,0
1297,119008,T,12.3,Bixby,0,0
1303,119014,T,13.3,Bixby,150,0
1309,119020,T,14.3,Bixby,150,0
1315,119026,T,15.3,Bixby,150,0
1321,119032,T,16.3,Bixby,42,0
1327,119038,T,17.3,Bixby,42,0
1333,119044,T,18.3,Bixby,42,0
1339,119050,T,19.3,Bixby,0,0
1346,119057,W,7.3,Bixby,0,0
1352,119063,W,8.3,Bixby,129,0
1358,119069,W,9.3,Bixby,129,0
1364,119075,W,10.3,Bixby,129,0
1370,119081,W,11.3,Bixby,23,0
1376,119087,W,12.3,Bixby,23,0
1382,119093,W,13.3,Bixby,208,0
1388,119099,W,14.3,Bixby,208,0
1394,119105,W,15.3,Bixby,208,0
1400,119111,W,16.3,Bixby,10,0
1406,119117,W,17.3,Bixby,10,0
1412,119123,W,18.3,Bixby,10,0
1418,119129,W,19.3,Bixby,0,0
1425,119136,H,7.3,Bixby,0,0
1431,119142,H,8.3,Bixby,55,0
1437,119148,H,9.3,Bixby,55,0
1443,119154,H,10.3,Bixby,55,0
1449,119160,H,11.3,Bixby,0,0
1455,119166,H,12.3,Bixby,0,0
1461,119172,H,13.3,Bixby,150,0
1467,119178,H,14.3,Bixby,150,0
1473,119184,H,15.3,Bixby,150,0
1479,119190,H,16.3,Bixby,42,0
1485,119196,H,17.3,Bixby,42,0
1491,119202,H,18.3,Bixby,42,0
1497,119208,H,19.3,Bixby,0,0
1504,119215,F,7.3,Bixby,0,0
1510,119221,F,8.3,Bixby,0,0
1516,119227,F,9.3,Bixby,0,0
1522,119233,F,10.3,Bixby,0,0
1528,119239,F,11.3,Bixby,0,0
1534,119245,F,12.3,Bixby,0,0
1540,119251,F,13.3,Bixby,0,0
1546,119257,F,14.3,Bixby,0,0
1552,119263,F,15.3,Bixby,0,0
1558,119269,F,16.3,Bixby,0,0
1564,119275,F,17.3,Bixby,0,0
1570,119281,F,18.3,Bixby,0,0
1576,119287,F,19.3,Bixby,0,0
1583,119294,M,7.3,Brauer Hall,0,0
1589,119300,M,8.3,Brauer Hall,0,0
1595,119306,M,9.3,Brauer Hall,0,0
1601,119312,M,10.3,Brauer Hall,35,0
1607,119318,M,11.3,Brauer Hall,56,0
1613,119324,M,12.3,Brauer Hall,56,0
1619,119330,M,13.3,Brauer Hall,50,0
1625,119336,M,14.3,Brauer Hall,0,0
1631,119342,M,15.3,Brauer Hall,0,0
1637,119348,M,16.3,Brauer Hall,0,0
1643,119354,M,17.3,Brauer Hall,0,0
1649,119360,M,18.3,Brauer Hall,0,0
1655,119366,M,19.3,Brauer Hall,0,0
1662,119373,T,7.3,Brauer Hall,0,0
1668,119379,T,8.3,Brauer Hall,0,0
1674,119385,T,9.3,Brauer Hall,0,0
1680,119391,T,10.3,Brauer Hall,56,0
1686,119397,T,11.3,Brauer Hall,23,0
1692,119403,T,12.3,Brauer Hall,23,0
1698,119409,T,13.3,Brauer Hall,39,0
1704,119415,T,14.3,Brauer Hall,33,0
1710,119421,T,15.3,Brauer Hall,33,0
1716,119427,T,16.3,Brauer Hall,0,0
1722,119433,T,17.3,Brauer Hall,0,0
1728,119439,T,18.3,Brauer Hall,5,0
1734,119445,T,19.3,Brauer Hall,5,0
1741,119452,W,7.3,Brauer Hall,0,0
1747,119458,W,8.3,Brauer Hall,0,0
1753,119464,W,9.3,Brauer Hall,0,0
1759,119470,W,10.3,Brauer Hall,35,0
1765,119476,W,11.3,Brauer Hall,56,0
1771,119482,W,12.3,Brauer Hall,56,0
1777,119488,W,13.3,Brauer Hall,0,0
1783,119494,W,14.3,Brauer Hall,0,0
1789,119500,W,15.3,Brauer Hall,0,0
1795,119506,W,16.3,Brauer Hall,0,0
1801,119512,W,17.3,Brauer Hall,0,0
1807,119518,W,18.3,Brauer Hall,0,0
1813,119524,W,19.3,Brauer Hall,0,0
1820,119531,H,7.3,Brauer Hall,0,0
1826,119537,H,8.3,Brauer Hall,21,0
1832,119543,H,9.3,Brauer Hall,21,0
1838,119549,H,10.3,Brauer Hall,77,0
1844,119555,H,11.3,Brauer Hall,23,0
