Days,Time,Building and Room,Seats,Enrolled,Waits,Dept_name,
M-W----, 1:00P-2:20P, Seigle / 210, 10, 1, 0, AFRICAN AND AFRICAN-AMERICAN STUDIES(L90), 
MT-R---, 11:30A-12:50P, Seigle / 208, 15, 9, 0, AFRICAN AND AFRICAN-AMERICAN STUDIES(L90), 
M-W----, 5:00P-6:20P, Seigle / 104, 15, 11, 0, AFRICAN AND AFRICAN-AMERICAN STUDIES(L90), 
-T-R---, 1:00P-2:20P, Seigle / 109, 19, 7, 0, AFRICAN AND AFRICAN-AMERICAN STUDIES(L90), 
M-W----, 2:30P-3:50P, Seigle / 106, 10, 2, 0, AFRICAN AND AFRICAN-AMERICAN STUDIES(L90), 
-T-R---, 11:30A-12:50P, Seigle / 204, 25, 6, 0, AFRICAN AND AFRICAN-AMERICAN STUDIES(L90), 
M-W----, 1:00P-2:20P, Seigle / L004, 19, 17, 0, AFRICAN AND AFRICAN-AMERICAN STUDIES(L90), 
-T-R---, 11:30A-12:50P, Seigle / 205, 18, 17, 0, AFRICAN AND AFRICAN-AMERICAN STUDIES(L90), 
-T-R---, 1:00P-2:20P, Seigle / 208, 10, 7, 0, AFRICAN AND AFRICAN-AMERICAN STUDIES(L90), 
-T-R---, 1:00P-2:20P, Music Cls Bldg / 102, 25, 14, 0, AFRICAN AND AFRICAN-AMERICAN STUDIES(L90), 
-T-R---, 10:00A-11:20A, Seigle / 303, 15, 8, 0, AFRICAN AND AFRICAN-AMERICAN STUDIES(L90), 
-T-R---, 10:00A-11:20A, Seigle / 205, 15, 14, 0, AFRICAN AND AFRICAN-AMERICAN STUDIES(L90), 
M-W----, 10:00A-11:20A, Eads / 103, 20, 9, 0, AFRICAN AND AFRICAN-AMERICAN STUDIES(L90), 
-T-R---, 2:30P-3:50P, Seigle / 103, 15, 9, 0, AFRICAN AND AFRICAN-AMERICAN STUDIES(L90), 
-T-R---, 10:00A-11:20A, (None) /, 15, 6, 0, AFRICAN AND AFRICAN-AMERICAN STUDIES(L90), 
M-W----, 11:30A-12:50P, Seigle / L003, 35, 34, 0, AFRICAN AND AFRICAN-AMERICAN STUDIES(L90), 
-T-R---, 2:30P-3:50P, Cupples II / L001, 15, 7, 0, AFRICAN AND AFRICAN-AMERICAN STUDIES(L90), 
-T-R---, 1:00P-2:20P, Busch / 100, 68, 65, 0, AFRICAN AND AFRICAN-AMERICAN STUDIES(L90), 
-T-R---, 10:00A-11:20A, Eads / 212, 15, 5, 0, AFRICAN AND AFRICAN-AMERICAN STUDIES(L90), 
M-W----, 1:00P-2:20P, Simon / 021, 15, 13, 0, AFRICAN AND AFRICAN-AMERICAN STUDIES(L90), 
