Days,Time,Building and Room,Seats,Enrolled,Waits,Dept_name,
M-W----, 8:30A-9:50A, Whitaker / 218, 40, 8, 0, BIOMEDICAL ENGINEERING(E62), 
--W----, 11:30A-12:50P, Brauer Hall / 2011, 40, 8, 0, BIOMEDICAL ENGINEERING(E62), 
--W----, 11:30A-12:50P, Brauer Hall / 2011, 0, 2, 0, BIOMEDICAL ENGINEERING(E62), 
M-W----, 4:00P-5:20P, Brauer Hall / 012, 40, 36, 0, BIOMEDICAL ENGINEERING(E62), 
M------, 1:00P-3:50P, Whitaker / 135, 27, 20, 0, BIOMEDICAL ENGINEERING(E62), 
M------, 1:00P-3:50P, Brauer Hall / 2011, 27, 4, 0, BIOMEDICAL ENGINEERING(E62), 
--W----, 1:00P-3:50P, Whitaker / 135, 27, 25, 0, BIOMEDICAL ENGINEERING(E62), 
-T-R---, 1:00P-2:20P, Whitaker / 218, 100, 58, 0, BIOMEDICAL ENGINEERING(E62), 
---R---, 2:30P-5:20P, Whitaker / 135, 24, 22, 0, BIOMEDICAL ENGINEERING(E62), 
---R---, 2:30P-5:20P, Brauer Hall / 2011, 24, 12, 0, BIOMEDICAL ENGINEERING(E62), 
----F--, 9:00A-11:50A, Whitaker / 135, 24, 17, 0, BIOMEDICAL ENGINEERING(E62), 
----F--, 9:00A-11:50A, Brauer Hall / 2011, 24, 7, 0, BIOMEDICAL ENGINEERING(E62), 
-T-----, 10:00A-12:50P, Brauer Hall / 2011, 24, 4, 0, BIOMEDICAL ENGINEERING(E62), 
-T-R---, 11:30A-12:50P, Whitaker / 218, 70, 46, 0, BIOMEDICAL ENGINEERING(E62), 
-T-R---, 8:30A-9:50A, Whitaker / 218, 40, 8, 0, BIOMEDICAL ENGINEERING(E62), 
M-W----, 8:30A-9:50A, Whitaker / 100, 75, 43, 0, BIOMEDICAL ENGINEERING(E62), 
M-W----, 10:00A-11:20A, Whitaker / 218, 0, 26, 0, BIOMEDICAL ENGINEERING(E62), 
-T-R---, 2:30P-3:50P, Whitaker / 216, 0, 35, 0, BIOMEDICAL ENGINEERING(E62), 
M-W----, 4:00P-5:20P, Whitaker / 216, 0, 17, 0, BIOMEDICAL ENGINEERING(E62), 
M-W----, 2:30P-3:50P, Crow / 206, 45, 43, 0, BIOMEDICAL ENGINEERING(E62), 
M-W----, 11:30A-12:50P, Whitaker / 218, 0, 33, 0, BIOMEDICAL ENGINEERING(E62), 
---R---, 10:00A-11:20A, Whitaker / 218, 150, 129, 0, BIOMEDICAL ENGINEERING(E62), 
---R---, 10:00A-11:20A, Whitaker / 218, 150, 13, 0, BIOMEDICAL ENGINEERING(E62), 
M-W----, 2:30P-3:50P, Whitaker / 316, 24, 17, 0, BIOMEDICAL ENGINEERING(E62), 
M-W----, 1:00P-2:20P, Whitaker / 218, 0, 21, 0, BIOMEDICAL ENGINEERING(E62), 
M-W----, 10:00A-11:20A, Whitaker / 218, 0, 26, 0, BIOMEDICAL ENGINEERING(E62), 
-T-R---, 2:30P-3:50P, Whitaker / 216, 0, 35, 0, BIOMEDICAL ENGINEERING(E62), 
M-W----, 4:00P-5:20P, Whitaker / 216, 0, 17, 0, BIOMEDICAL ENGINEERING(E62), 
