Days,Time,Building and Room,Seats,Enrolled,Waits,Dept_name,
---R---, 6:00P-8:52P, AB Law Bldg / 309, 8, 7, 0, LAW(W75), 
--W----, 4:30P-6:22P, AB Law Bldg / 403, 22, 20, 0, LAW(W75), 
TBA, , TBA, 0, 4, 0, LAW(W75), 
TBA, , TBA, 0, 5, 0, LAW(W75), 
TBA, , TBA, 0, 49, 0, LAW(W75), 
TBA, , TBA, 0, 38, 0, LAW(W75), 
TBA, , TBA, 0, 8, 0, LAW(W75), 
TBA, , TBA, 0, 31, 0, LAW(W75), 
TBA, , TBA, 0, 37, 0, LAW(W75), 
M------, 4:00P-5:52P, AB Law Bldg / 201, 16, 15, 0, LAW(W76), 
--W----, 1:00P-2:52P, AB Law Bldg / 201, 16, 13, 0, LAW(W76), 
-T-----, 4:00P-5:52P, AB Law Bldg / 201, 16, 6, 0, LAW(W76), 
---R---, 8:30A-10:22A, AB Law Bldg / 201, 16, 6, 0, LAW(W76), 
-T-R---, 4:00P-5:22P, AB Law Bldg / 401, 16, 12, 0, LAW(W76), 
---R---, 4:00P-5:52P, AB Law Bldg / 202, 16, 12, 0, LAW(W76), 
--W----, 1:00P-2:52P, AB Law Bldg / 312, 16, 5, 0, LAW(W76), 
M------, 4:00P-5:52P, AB Law Bldg / 203, 18, 17, 0, LAW(W76), 
--W----, 1:00P-2:52P, AB Law Bldg / 203, 19, 19, 0, LAW(W76), 
---R---, 4:00P-5:52P, AB Law Bldg / 201, 19, 20, 0, LAW(W76), 
---R---, 8:30A-10:22A, AB Law Bldg / 203, 16, 16, 0, LAW(W76), 
M------, 6:00P-8:52P, AB Law Bldg / 401, 70, 65, 0, LAW(W77), 
--W----, 4:30P-6:22P, AB Law Bldg / 320, 18, 8, 0, LAW(W77), 
M------, 8:30A-10:22A, AB Law Bldg / 203, 15, 4, 0, LAW(W77), 
-T-R---, 8:00A-9:22A, AB Law Bldg / 312, 15, 8, 0, LAW(W77), 
--W----, 8:00A-8:52A, AB Law Bldg / 310, 180, 137, 0, LAW(W77), 
------S-----S-----F--, 10:30A-1:30P9:00A-4:00P2:00P-5:00P, AB Law Bldg / 320   AB Law Bldg / 320   AB Law Bldg / 320, 20, 14, 0, LAW(W77), 
------S-----S-----F--, 10:30A-1:30P9:00A-4:00P2:00P-5:00P, AB Law Bldg / 404   AB Law Bldg / 404   AB Law Bldg / 404, 20, 8, 0, LAW(W77), 
TBA, , TBA, 0, 28, 0, LAW(W77), 
TBA, , TBA, 0, 56, 0, LAW(W77), 
TBA, , TBA, 0, 23, 0, LAW(W77), 
TBA, , TBA, 0, 45, 0, LAW(W77), 
MTWRF--, 1:30P-3:30P, AB Law Bldg / 306, 0, 19, 0, LAW(W77), 
-T-R---, 9:30A-11:45A, Seigle / 108, 0, 6, 0, LAW(W77), 
-T-R---, 9:30A-11:45A, AB Law Bldg / 312, 0, 10, 0, LAW(W77), 
M-W----, 9:30A-11:45A, Seigle / 108, 0, 6, 0, LAW(W77), 
M-W----, 9:30A-11:45A, AB Law Bldg / 201, 0, 10, 0, LAW(W77), 
--W-F--, 10:30A-11:52A, AB Law Bldg / 204, 119, 100, 0, LAW SCHOOL(W74), 
--W----, 2:30P-4:00P, Remote / LAW, 25, 23, 0, LAW SCHOOL(W74), 
MT-----, 4:00P-5:22P, AB Law Bldg / 202, 60, 9, 0, LAW SCHOOL(W74), 
M------, 8:30A-10:22A, AB Law Bldg / 306, 60, 28, 0, LAW SCHOOL(W74), 
MT-R---, 10:30A-11:24A, AB Law Bldg / 401, 90, 42, 0, LAW SCHOOL(W74), 
-T-R---, 2:30P-3:52P, AB Law Bldg / 403, 40, 12, 0, LAW SCHOOL(W74), 
--WT---, 1:00P-2:22P, AB Law Bldg / 320, 45, 27, 0, LAW SCHOOL(W74), 
MT-----, 1:00P-2:22P, AB Law Bldg / 204, 82, 71, 0, LAW SCHOOL(W74), 
MT-----, 4:00P-5:22P, AB Law Bldg / 204, 60, 34, 0, LAW SCHOOL(W74), 
MT-----, 1:00P-2:22P, AB Law Bldg / 202, 90, 64, 0, LAW SCHOOL(W74), 
--W-F--, 9:00A-10:22A, AB Law Bldg / 401, 64, 56, 0, LAW SCHOOL(W74), 
-T-R---, 9:00A-10:22A, AB Law Bldg / 202, 95, 94, 0, LAW SCHOOL(W74), 
