eating_place,busy_metric,time_day,day_week
Hillman Food,69.5749475607559,10.0,M
DUC,154.95955009820864,10.0,M
Subway,178.52536980501213,10.0,M
Parkside,71.00890278381013,10.0,M
Whispers,214.41093652009485,10.0,M
Stanleys,125.26325890290168,10.0,M
Law Cafe,130.07239952280074,10.0,M
Bytes,0.4796060378072779,10.0,M
Hillman Food,3.6411487573900554,10.0,T
DUC,9.131387179355725,10.0,T
Subway,11.666359252076168,10.0,T
Parkside,3.973102274033912,10.0,T
Whispers,16.78117808935456,10.0,T
Stanleys,8.191390502226735,10.0,T
Law Cafe,7.137101146606559,10.0,T
Bytes,0.06195943027483598,10.0,T
Hillman Food,69.57494751922044,10.0,W
DUC,154.95954917865748,10.0,W
Subway,178.52536777151542,10.0,W
Parkside,71.00890275050017,10.0,W
Whispers,214.41093271350815,10.0,W
Stanleys,125.26325735015334,10.0,W
Law Cafe,130.0723995183735,10.0,W
Bytes,0.47960603763477044,10.0,W
Hillman Food,3.634177171434474,10.0,H
DUC,9.13150757061099,10.0,H
Subway,11.359995372822098,10.0,H
Parkside,3.908719842881839,10.0,H
Whispers,15.648137897822952,10.0,H
Stanleys,7.864393084254157,10.0,H
Law Cafe,7.13711012494839,10.0,H
Bytes,0.04108852203920475,10.0,H
Hillman Food,69.21735548748238,10.0,F
DUC,154.9594811816415,10.0,F
Subway,177.41117360366226,10.0,F
Parkside,70.20084455684346,10.0,F
Whispers,209.88362503252733,10.0,F
Stanleys,123.8509010086181,10.0,F
Law Cafe,130.07239540317013,10.0,F
Bytes,0.3580702499023658,10.0,F
Hillman Food,63.249952327959896,10.1,M
DUC,140.87231827109875,10.1,M
Subway,162.29579073182921,10.1,M
Parkside,64.55354798528194,10.1,M
Whispers,194.9190332000862,10.1,M
Stanleys,113.87568991172878,10.1,M
Law Cafe,118.24763592981886,10.1,M
Bytes,0.4360054889157071,10.1,M
Hillman Food,3.3101352339909598,10.1,T
DUC,8.30126107214157,10.1,T
Subway,10.60578113825106,10.1,T
Parkside,3.611911158212648,10.1,T
Whispers,15.255616444867785,10.1,T
Stanleys,7.4467186383879405,10.1,T
Law Cafe,6.488273769642327,10.1,T
Bytes,0.05632675479530543,10.1,T
Hillman Food,63.249952290200405,10.1,W
DUC,140.87231743514315,10.1,W
Subway,162.29578888319583,10.1,W
Parkside,64.55354795500016,10.1,W
Whispers,194.91902973955285,10.1,W
Stanleys,113.87568850013939,10.1,W
Law Cafe,118.24763592579407,10.1,W
Bytes,0.4360054887588821,10.1,W
Hillman Food,3.303797428576795,10.1,H
DUC,8.301370518737265,10.1,H
Subway,10.327268520747364,10.1,H
Parkside,3.553381675347127,10.1,H
Whispers,14.225579907111776,10.1,H
Stanleys,7.14944825841287,10.1,H
Law Cafe,6.4882819317712634,10.1,H
Bytes,0.0373532018538225,10.1,H
Hillman Food,62.92486862498397,10.1,F
DUC,140.8722556196741,10.1,F
Subway,161.2828850942384,10.1,F
Parkside,63.81894959713043,10.1,F
Whispers,190.80329548411578,10.1,F
Stanleys,112.5917281896528,10.1,F
Law Cafe,118.2476321847001,10.1,F
Bytes,0.3255184090021508,10.1,F
Hillman Food,56.92495709516392,10.2,M
DUC,126.78508644398889,10.2,M
Subway,146.0662116586463,10.2,M
Parkside,58.09819318675375,10.2,M
Whispers,175.42712988007762,10.2,M
Stanleys,102.48812092055591,10.2,M
Law Cafe,106.42287233683696,10.2,M
Bytes,0.39240494002413645,10.2,M
Hillman Food,2.9791217105918637,10.2,T
DUC,7.471134964927412,10.2,T
Subway,9.545203024425954,10.2,T
Parkside,3.250720042391383,10.2,T
Whispers,13.730054800381007,10.2,T
Stanleys,6.702046774549147,10.2,T
Law Cafe,5.839446392678094,10.2,T
Bytes,0.050694079315774895,10.2,T
Hillman Food,56.924957061180365,10.2,W
DUC,126.78508569162885,10.2,W
Subway,146.06620999487626,10.2,W
Parkside,58.09819315950015,10.2,W
Whispers,175.4271267655976,10.2,W
Stanleys,102.48811965012548,10.2,W
Law Cafe,106.42287233321467,10.2,W
Bytes,0.39240493988299396,10.2,W
Hillman Food,2.9734176857191157,10.2,H
DUC,7.47123346686354,10.2,H
Subway,9.294541668672627,10.2,H
Parkside,3.1980435078124145,10.2,H
Whispers,12.803021916400597,10.2,H
Stanleys,6.434503432571585,10.2,H
Law Cafe,5.839453738594138,10.2,H
Bytes,0.03361788166844026,10.2,H
Hillman Food,56.63238176248559,10.2,F
DUC,126.78503005770669,10.2,F
Subway,145.15459658481456,10.2,F
Parkside,57.43705463741739,10.2,F
Whispers,171.7229659357042,10.2,F
Stanleys,101.33255537068753,10.2,F
Law Cafe,106.42286896623011,10.2,F
Bytes,0.2929665681019357,10.2,F
Hillman Food,50.59996196918927,10.3,M
DUC,112.69785515421461,10.3,M
Subway,129.83663428530102,10.3,M
Parkside,51.64283846937819,10.3,M
Whispers,155.93522866743675,10.3,M
Stanleys,91.10055284200033,10.3,M
Law Cafe,94.59810874900819,10.3,M
Bytes,0.34880439220176074,10.3,M
Hillman Food,2.6481081872103136,10.3,T
DUC,6.641008858030495,10.3,T
Subway,8.484624912299356,10.3,T
Parkside,2.8895289270695,10.3,T
Whispers,12.204493164553265,10.3,T
Stanleys,5.9573749130535285,10.3,T
Law Cafe,5.190619015714391,10.3,T
Bytes,0.045061403836251186,10.3,T
Hillman Food,50.59996193898167,10.3,W
DUC,112.69785448545012,10.3,W
Subway,129.8366328063943,10.3,W
Parkside,51.64283844515277,10.3,W
Whispers,155.93522589901008,10.3,W
Stanleys,91.10055171272882,10.3,W
Law Cafe,94.59810874578838,10.3,W
Bytes,0.34880439207630076,10.3,W
Hillman Food,2.6430379428663486,10.3,H
DUC,6.641096415078639,10.3,H
Subway,8.261814817073473,10.3,H
Parkside,2.8427053404175284,10.3,H
Whispers,11.38046392811395,10.3,H
Stanleys,5.719558607386386,10.3,H
Law Cafe,5.19062554541716,10.3,H
Bytes,0.029882561483059917,10.3,H
Hillman Food,50.339894899987186,10.3,F
DUC,112.69780449573928,10.3,F
Subway,129.02630807539074,10.3,F
Parkside,51.055159677704346,10.3,F
Whispers,152.64263638729258,10.3,F
Stanleys,90.07338255172225,10.3,F
Law Cafe,94.59810574776007,10.3,F
Bytes,0.2604147272017206,10.3,F
Hillman Food,44.27496672668226,10.4,M
DUC,98.61062327825606,10.4,M
Subway,113.6070550575874,10.4,M
Parkside,45.18748366347249,10.4,M
Whispers,136.44332515584927,10.4,M
Stanleys,79.71298376786226,10.4,M
Law Cafe,82.77334515555786,10.4,M
Bytes,0.30520384321299054,10.4,M
Hillman Food,2.317094663809623,10.4,T
DUC,5.810882750787499,10.4,T
Subway,7.424046798319841,10.4,T
Parkside,2.5283378112028374,10.4,T
Whispers,10.678931519279303,10.4,T
Stanleys,5.212703049001719,10.4,T
Law Cafe,4.541791638750112,10.4,T
Bytes,0.03942872835672002,10.4,T
Hillman Food,44.27496670025061,10.4,W
DUC,98.61062269308714,10.4,W
Subway,113.60705376354404,10.4,W
Parkside,45.18748364227524,10.4,W
Whispers,136.4433227334759,10.4,W
Stanleys,79.71298277974968,10.4,W
Law Cafe,82.77334515274053,10.4,W
Bytes,0.3052038431032131,10.4,W
Hillman Food,2.3126582000082228,10.4,H
